City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Paris,48.8534,2.3488,45.0,100,90,9.22,FR,2021-02-07 01:56:18,drizzle
1,Bismil,37.8486,40.6658,35.6,100,0,3.65,TR,2021-02-07 01:57:10,clear sky
2,Qaanaaq,77.484,-69.3632,10.69,87,100,7.56,GL,2021-02-07 01:57:10,overcast clouds
3,Katobu,-4.9408,122.5276,84.87,72,100,4.74,ID,2021-02-07 01:54:00,overcast clouds
4,Mar Del Plata,-38.0023,-57.5575,64.0,77,20,11.5,AR,2021-02-07 01:55:13,few clouds
5,Sobolevo,54.4299,31.8996,-5.06,92,67,8.05,RU,2021-02-07 01:55:41,broken clouds
6,Severo-Kurilsk,50.6789,156.125,22.71,93,93,21.92,RU,2021-02-07 01:57:11,light snow
7,Bredasdorp,-34.5322,20.0403,66.2,88,98,3.44,ZA,2021-02-07 01:55:27,light rain
8,Rikitea,-23.1203,-134.9692,78.78,69,73,10.56,PF,2021-02-07 01:55:25,broken clouds
9,Hilo,19.7297,-155.09,78.8,53,75,5.75,US,2021-02-07 01:53:24,broken clouds
10,San Cristobal,7.7669,-72.225,66.36,90,100,1.21,VE,2021-02-07 01:52:30,overcast clouds
11,Hobart,-42.8794,147.3294,66.0,63,75,17.27,AU,2021-02-07 01:57:11,broken clouds
12,Kurumkan,54.3,110.3,-2.99,84,100,1.86,RU,2021-02-07 01:57:12,overcast clouds
13,Alofi,-19.0595,-169.9187,86.0,70,100,12.66,NU,2021-02-07 01:54:13,light rain
14,Cayenne,4.9333,-52.3333,77.0,100,90,8.05,GF,2021-02-07 01:57:12,mist
15,Kapaa,22.0752,-159.319,73.99,49,40,6.91,US,2021-02-07 01:52:30,scattered clouds
16,Takoradi,4.8845,-1.7554,79.57,86,0,11.9,GH,2021-02-07 01:57:12,clear sky
17,Ilebo,-4.3167,20.5833,72.54,87,99,0.98,CD,2021-02-07 01:57:12,overcast clouds
18,Ribeira Grande,38.5167,-28.7,61.14,88,95,21.88,PT,2021-02-07 01:57:12,overcast clouds
19,Ca Mau,9.1769,105.15,82.58,62,87,7.76,VN,2021-02-07 01:57:13,overcast clouds
20,Upernavik,72.7868,-56.1549,18.97,75,0,4.59,GL,2021-02-07 01:55:42,clear sky
21,Santa Luzia,-19.7697,-43.8514,68.0,100,75,8.05,BR,2021-02-07 01:57:13,fog
22,Butaritari,3.0707,172.7902,80.98,81,71,20.78,KI,2021-02-07 01:54:01,broken clouds
23,Nikolskoye,59.7035,30.7861,10.4,85,75,15.66,RU,2021-02-07 01:52:33,snow
24,Mataura,-46.1927,168.8643,81.88,46,13,1.63,NZ,2021-02-07 01:52:29,few clouds
25,Thompson,55.7435,-97.8558,-27.4,68,40,12.66,CA,2021-02-07 01:54:59,snow
26,Aksu,41.1231,80.2644,28.02,78,100,0.07,CN,2021-02-07 01:55:20,overcast clouds
27,Barrow,71.2906,-156.7887,-5.8,77,90,14.97,US,2021-02-07 01:53:32,haze
28,Bluff,-46.6,168.3333,61.45,71,0,7.96,NZ,2021-02-07 01:57:14,clear sky
29,Flin Flon,54.7682,-101.865,-29.51,82,2,8.48,CA,2021-02-07 01:57:14,clear sky
30,Luderitz,-26.6481,15.1594,67.42,70,0,22.7,NA,2021-02-07 01:57:14,clear sky
31,Coihaique,-45.5752,-72.0662,68.0,40,0,19.57,CL,2021-02-07 01:57:14,clear sky
32,Bezhetsk,57.7851,36.6965,-4.18,91,100,11.14,RU,2021-02-07 01:57:14,overcast clouds
33,Port Lincoln,-34.7333,135.8667,62.55,67,99,12.08,AU,2021-02-07 01:55:34,overcast clouds
34,Albany,42.6001,-73.9662,25.0,48,0,2.01,US,2021-02-07 01:57:15,clear sky
